Date,Item,Quantity Sold,Price per Unit,Total Sales ($)
2024-02-01,Tea,33,7.49,247.17
2024-02-01,Cappuccino,39,6.45,251.55
2024-02-01,Latte,30,4.32,129.6
2024-02-01,Espresso,49,3.53,172.97
2024-02-01,Muffin,41,6.58,269.78
2024-02-01,Croissant,47,6.77,318.19
2024-02-01,Sandwich,41,7.62,312.42
2024-02-01,Cake,6,7.25,43.5
2024-02-01,Smoothie,31,2.7,83.7
2024-02-02,Coffee,6,4.88,29.28
2024-02-02,Tea,27,2.75,74.25
2024-02-02,Cappuccino,45,6.73,302.85
2024-02-02,Latte,14,3.2,44.8
2024-02-02,Espresso,47,3.22,151.34
2024-02-02,Muffin,34,4.58,155.72
2024-02-02,Croissant,39,6.99,272.61
2024-02-02,Sandwich,29,3.49,101.21
2024-02-02,Cake,25,3.92,98.0
2024-02-02,Smoothie,19,4.97,94.43
2024-02-03,Coffee,10,6.35,63.5
2024-02-03,Tea,30,5.46,163.8
2024-02-03,Cappuccino,26,4.53,117.78
2024-02-03,Latte,46,7.25,333.5
2024-02-03,Espresso,19,4.88,92.72
2024-02-03,Muffin,37,7.62,281.94
2024-02-03,Croissant,26,5.13,133.38
2024-02-03,Sandwich,38,2.82,107.16
2024-02-03,Cake,36,4.58,164.88
2024-02-03,Smoothie,16,4.18,66.88
2024-02-04,Coffee,9,2.69,24.21
2024-02-04,Tea,48,2.57,123.36
2024-02-04,Cappuccino,38,6.45,245.1
2024-02-04,Latte,29,3.02,87.58
2024-02-04,Espresso,37,5.16,190.92
2024-02-04,Muffin,14,6.17,86.38
2024-02-04,Croissant,30,3.0,90.0
2024-02-04,Sandwich,34,5.49,186.66
2024-02-04,Cake,46,7.2,331.2
2024-02-04,Smoothie,35,5.72,200.2
2024-02-05,Coffee,11,7.36,80.96
2024-02-05,Tea,37,6.69,247.53
2024-02-05,Cappuccino,16,3.27,52.32
2024-02-05,Latte,35,4.05,141.75
2024-02-05,Espresso,11,3.65,40.15
2024-02-05,Muffin,35,7.61,266.35
2024-02-05,Croissant,44,3.83,168.52
2024-02-05,Sandwich,8,5.26,42.08
2024-02-05,Cake,12,3.39,40.68
2024-02-05,Smoothie,43,5.37,230.91
2024-02-06,Coffee,31,4.25,131.75
2024-02-06,Tea,7,6.1,42.7
2024-02-06,Cappuccino,45,2.8,126.0
2024-02-06,Latte,35,5.44,190.4
2024-02-06,Espresso,40,6.04,241.6
2024-02-06,Muffin,8,3.62,28.96
2024-02-06,Croissant,42,6.37,267.54
2024-02-06,Sandwich,33,6.51,214.83
2024-02-06,Cake,21,6.52,136.92
2024-02-06,Smoothie,36,6.3,226.8
2024-02-07,Coffee,21,7.67,161.07
2024-02-07,Tea,49,6.96,341.04
2024-02-07,Cappuccino,32,5.6,179.2
2024-02-07,Latte,41,3.83,157.03
2024-02-07,Espresso,35,3.74,130.9
2024-02-07,Muffin,19,4.62,87.78
2024-02-07,Croissant,30,3.22,96.6
2024-02-07,Sandwich,38,6.43,244.34
2024-02-07,Cake,17,3.34,56.78
2024-02-07,Smoothie,34,5.87,199.58
2024-02-08,Coffee,47,4.42,207.74
2024-02-08,Tea,32,7.53,240.96
2024-02-08,Cappuccino,25,3.03,75.75
2024-02-08,Latte,21,5.11,107.31
2024-02-08,Espresso,47,5.22,245.34
2024-02-08,Muffin,25,7.09,177.25
2024-02-08,Croissant,41,3.15,129.15
2024-02-08,Sandwich,47,5.14,241.58
2024-02-08,Cake,46,4.93,226.78
2024-02-08,Smoothie,43,5.87,252.41
2024-02-09,Coffee,26,2.74,71.24
2024-02-09,Tea,8,4.7,37.6
2024-02-09,Cappuccino,50,5.2,260.0
2024-02-09,Latte,49,5.02,245.98
2024-02-09,Espresso,35,3.31,115.85
2024-02-09,Muffin,12,2.88,34.56
2024-02-09,Croissant,31,7.77,240.87
2024-02-09,Sandwich,11,5.72,62.92
2024-02-09,Cake,27,5.9,159.3
2024-02-09,Smoothie,15,5.47,82.05
2024-02-10,Coffee,31,3.78,117.18
2024-02-10,Tea,6,4.75,28.5
2024-02-10,Cappuccino,19,5.64,107.16
2024-02-10,Latte,46,7.34,337.64
2024-02-10,Espresso,14,6.54,91.56
2024-02-10,Muffin,44,4.21,185.24
2024-02-10,Croissant,25,3.19,79.75
2024-02-10,Sandwich,16,2.7,43.2
2024-02-10,Cake,22,6.35,139.7
2024-02-10,Smoothie,7,6.92,48.44
2024-02-11,Coffee,34,6.75,229.5
2024-02-11,Tea,29,4.17,120.93
2024-02-11,Cappuccino,6,6.87,41.22
2024-02-11,Latte,16,7.14,114.24
2024-02-11,Espresso,7,7.39,51.73
2024-02-11,Muffin,37,5.15,190.55
2024-02-11,Croissant,43,3.26,140.18
2024-02-11,Sandwich,45,3.99,179.55
2024-02-11,Cake,48,7.61,365.28
2024-02-11,Smoothie,50,3.93,196.5
2024-02-12,Coffee,16,7.66,122.56
2024-02-12,Tea,42,2.74,115.08
2024-02-12,Cappuccino,28,3.87,108.36
2024-02-12,Latte,36,5.67,204.12
2024-02-12,Espresso,5,5.01,25.05
2024-02-12,Muffin,39,6.8,265.2
2024-02-12,Croissant,10,6.99,69.9
2024-02-12,Sandwich,21,2.58,54.18
2024-02-12,Cake,24,4.69,112.56
2024-02-12,Smoothie,24,4.59,110.16
2024-02-13,Coffee,31,4.21,130.51
2024-02-13,Tea,5,6.8,34.0
2024-02-13,Cappuccino,50,3.2,160.0
2024-02-13,Latte,43,6.97,299.71
2024-02-13,Espresso,48,5.65,271.2
2024-02-13,Muffin,22,2.6,57.2
2024-02-13,Croissant,36,7.51,270.36
2024-02-13,Sandwich,44,7.43,326.92
2024-02-13,Cake,5,5.81,29.05
2024-02-13,Smoothie,35,5.89,206.15
2024-02-14,Coffee,24,7.4,177.6
2024-02-14,Tea,8,7.43,59.44
2024-02-14,Cappuccino,27,6.51,175.77
2024-02-14,Latte,11,6.58,72.38
2024-02-14,Espresso,20,5.03,100.6
2024-02-14,Muffin,5,7.96,39.8
2024-02-14,Croissant,12,3.79,45.48
2024-02-14,Sandwich,43,6.45,277.35
2024-02-14,Cake,30,7.76,232.8
2024-02-14,Smoothie,23,7.07,162.61
2024-02-15,Coffee,6,5.06,30.36
2024-02-15,Tea,12,3.5,42.0
2024-02-15,Cappuccino,11,4.1,45.1
2024-02-15,Latte,22,3.38,74.36
2024-02-15,Espresso,13,7.12,92.56
2024-02-15,Muffin,27,6.79,183.33
2024-02-15,Croissant,16,4.51,72.16
2024-02-15,Sandwich,25,4.54,113.5
2024-02-15,Cake,45,7.38,332.1
2024-02-15,Smoothie,20,2.93,58.6
2024-02-16,Coffee,45,3.33,149.85
2024-02-16,Tea,26,3.13,81.38
2024-02-16,Cappuccino,33,7.0,231.0
2024-02-16,Latte,25,6.93,173.25
2024-02-16,Espresso,33,3.77,124.41
2024-02-16,Muffin,28,4.75,133.0
2024-02-16,Croissant,33,4.62,152.46
2024-02-16,Sandwich,38,4.12,156.56
2024-02-16,Cake,8,3.21,25.68
2024-02-16,Smoothie,50,4.76,238.0
2024-02-17,Coffee,14,4.52,63.28
2024-02-17,Tea,35,4.08,142.8
2024-02-17,Cappuccino,8,6.85,54.8
2024-02-17,Latte,39,2.96,115.44
2024-02-17,Espresso,27,4.92,132.84
2024-02-17,Muffin,49,6.91,338.59
2024-02-17,Croissant,43,6.31,271.33
2024-02-17,Sandwich,42,3.74,157.08
2024-02-17,Cake,20,5.55,111.0
2024-02-17,Smoothie,13,6.61,85.93
2024-02-18,Coffee,13,7.1,92.3
2024-02-18,Tea,14,7.44,104.16
2024-02-18,Cappuccino,40,7.04,281.6
2024-02-18,Latte,30,7.35,220.5
2024-02-18,Espresso,9,2.92,26.28
2024-02-18,Muffin,15,3.54,53.1
2024-02-18,Croissant,36,2.73,98.28
2024-02-18,Sandwich,38,4.22,160.36
2024-02-18,Cake,17,4.85,82.45
2024-02-18,Smoothie,16,3.01,48.16
2024-02-19,Coffee,40,6.52,260.8
2024-02-19,Tea,45,5.32,239.4
2024-02-19,Cappuccino,42,3.17,133.14
2024-02-19,Latte,19,7.71,146.49
2024-02-19,Espresso,39,6.49,253.11
2024-02-19,Muffin,33,5.54,182.82
2024-02-19,Croissant,40,2.94,117.6
2024-02-19,Sandwich,20,7.33,146.6
2024-02-19,Cake,42,7.1,298.2
2024-02-19,Smoothie,33,3.75,123.75
2024-02-20,Coffee,33,3.23,106.59
2024-02-20,Tea,37,4.95,183.15
2024-02-20,Cappuccino,13,2.95,38.35
2024-02-20,Latte,16,7.65,122.4
2024-02-20,Espresso,35,7.24,253.4
2024-02-20,Muffin,42,3.07,128.94
2024-02-20,Croissant,44,4.93,216.92
2024-02-20,Sandwich,37,5.55,205.35
2024-02-20,Cake,33,6.74,222.42
2024-02-20,Smoothie,26,2.52,65.52
2024-02-21,Coffee,33,7.58,250.14
2024-02-21,Tea,41,3.52,144.32
2024-02-21,Cappuccino,11,5.17,56.87
2024-02-21,Latte,27,3.96,106.92
2024-02-21,Espresso,37,4.85,179.45
2024-02-21,Muffin,7,4.22,29.54
2024-02-21,Croissant,46,7.64,351.44
2024-02-21,Sandwich,21,4.76,99.96
2024-02-21,Cake,46,5.43,249.78
2024-02-21,Smoothie,41,4.21,172.61
2024-02-22,Coffee,33,7.54,248.82
2024-02-22,Tea,11,4.82,53.02
2024-02-22,Cappuccino,50,6.65,332.5
2024-02-22,Latte,38,5.15,195.7
2024-02-22,Espresso,32,7.74,247.68
2024-02-22,Muffin,33,3.16,104.28
2024-02-22,Croissant,44,4.03,177.32
2024-02-22,Sandwich,8,6.77,54.16
2024-02-22,Cake,39,3.77,147.03
2024-02-22,Smoothie,27,5.65,152.55
2024-02-23,Coffee,11,5.89,64.79
2024-02-23,Tea,23,7.38,169.74
2024-02-23,Cappuccino,40,3.48,139.2
2024-02-23,Latte,42,6.28,263.76
2024-02-23,Espresso,19,5.09,96.71
2024-02-23,Muffin,6,7.24,43.44
2024-02-23,Croissant,28,4.07,113.96
2024-02-23,Sandwich,37,7.06,261.22
2024-02-23,Cake,25,5.02,125.5
2024-02-23,Smoothie,30,6.43,192.9
2024-02-24,Coffee,9,6.07,54.63
2024-02-24,Tea,32,3.19,102.08
2024-02-24,Cappuccino,39,7.01,273.39
2024-02-24,Latte,45,6.8,306.0
2024-02-24,Espresso,40,6.23,249.2
2024-02-24,Muffin,17,7.98,135.66
2024-02-24,Croissant,44,5.0,220.0
2024-02-24,Sandwich,9,4.4,39.6
2024-02-24,Cake,45,7.91,355.95
2024-02-24,Smoothie,23,4.43,101.89
2024-02-25,Coffee,9,2.66,23.94
2024-02-25,Tea,12,4.26,51.12
2024-02-25,Cappuccino,30,7.58,227.4
2024-02-25,Latte,8,4.34,34.72
2024-02-25,Espresso,9,2.94,26.46
2024-02-25,Muffin,33,6.19,204.27
2024-02-25,Croissant,24,7.1,170.4
2024-02-25,Sandwich,36,2.99,107.64
2024-02-25,Cake,39,6.59,257.01
2024-02-25,Smoothie,17,6.36,108.12
2024-02-26,Coffee,38,6.2,235.6
2024-02-26,Tea,47,6.22,292.34
2024-02-26,Cappuccino,20,3.15,63.0
2024-02-26,Latte,25,3.56,89.0
2024-02-26,Espresso,15,6.92,103.8
2024-02-26,Muffin,49,7.07,346.43
2024-02-26,Croissant,7,4.24,29.68
2024-02-26,Sandwich,44,3.92,172.48
2024-02-26,Cake,34,4.67,158.78
2024-02-26,Smoothie,20,7.96,159.2
2024-02-27,Coffee,11,5.08,55.88
2024-02-27,Tea,35,3.24,113.4
2024-02-27,Cappuccino,5,4.49,22.45
2024-02-27,Latte,7,7.76,54.32
2024-02-27,Espresso,35,4.59,160.65
2024-02-27,Muffin,37,7.91,292.67
2024-02-27,Croissant,27,4.18,112.86
2024-02-27,Sandwich,43,2.99,128.57
2024-02-27,Cake,22,3.84,84.48
2024-02-27,Smoothie,32,7.95,254.4
2024-02-28,Coffee,35,3.26,114.1
2024-02-28,Tea,25,6.85,171.25
2024-02-28,Cappuccino,27,6.46,174.42
2024-02-28,Latte,29,7.03,203.87
2024-02-28,Espresso,20,4.85,97.0
2024-02-28,Muffin,50,5.33,266.5
2024-02-28,Croissant,30,4.64,139.2
2024-02-28,Sandwich,31,4.31,133.61
2024-02-28,Cake,39,2.67,104.13
2024-02-28,Smoothie,9,7.87,70.83
2024-02-29,Coffee,27,7.03,189.81
2024-02-29,Tea,37,3.74,138.38
2024-02-29,Cappuccino,12,7.14,85.68
2024-02-29,Latte,33,4.91,162.03
2024-02-29,Espresso,21,7.32,153.72
2024-02-29,Muffin,44,7.59,333.96
2024-02-29,Croissant,21,7.21,151.41
2024-02-29,Sandwich,28,5.35,149.8
2024-02-29,Cake,28,3.57,99.96
2024-02-29,Smoothie,23,3.62,83.26
2024-03-01,Coffee,16,4.08,65.28
2024-03-01,Tea,30,5.35,160.5
2024-03-01,Cappuccino,39,5.35,208.65
2024-03-01,Latte,21,7.57,158.97
2024-03-01,Espresso,29,5.1,147.9
2024-03-01,Muffin,25,7.35,183.75
2024-03-01,Croissant,26,7.13,185.38
2024-03-01,Sandwich,29,4.68,135.72
2024-03-01,Cake,28,5.23,146.44
2024-03-01,Smoothie,50,3.16,158.0
2024-03-02,Coffee,11,6.63,72.93
2024-03-02,Tea,26,5.72,148.72
2024-03-02,Cappuccino,34,7.64,259.76
2024-03-02,Latte,30,6.65,199.5
2024-03-02,Espresso,23,5.71,131.33
2024-03-02,Muffin,17,7.07,120.19
2024-03-02,Croissant,10,4.76,47.6
2024-03-02,Sandwich,44,4.75,209.0
2024-03-02,Cake,35,7.45,260.75
2024-03-02,Smoothie,11,4.76,52.36
2024-03-03,Coffee,24,3.88,93.12
2024-03-03,Tea,22,5.63,123.86
2024-03-03,Cappuccino,32,6.08,194.56
2024-03-03,Latte,10,7.7,77.0
2024-03-03,Espresso,35,4.71,164.85
2024-03-03,Muffin,34,3.42,116.28
2024-03-03,Croissant,7,7.82,54.74
2024-03-03,Sandwich,47,6.29,295.63
2024-03-03,Cake,10,5.89,58.9
2024-03-03,Smoothie,18,5.24,94.32
